,ADDRESS,DATE,PRICE,SQFT,BEDS,BATH,PARK,UNIT#,Neighbourhood,Codes
7200,15 Bruyeres Mews,2019-10-01,503000,549,1.0,1,0.0,602,5,00000000156
7157,15 Bruyeres Mews,2019-10-01,527500,649,1.0,1,0.0,1003,5,00000000156
1421,10 Capreol Crt,2019-10-01,750000,749,2.0,2,1.0,1606,1,00000000102
1419,100 Harbour St,2019-10-01,970000,749,2.0,2,1.0,6704,1,00000001009
5927,1029 King St W,2019-10-01,875000,849,1.0,2,1.0,1002,5,00000010296
1409,290 Adelaide St W,2019-10-01,1420000,949,2.0,2,2.0,701,1,00000002904
1397,8 Charlotte St,2019-10-01,1055000,1099,2.0,2,1.0,1006,1,00000000081
5957,801 King St W,2019-11-01,760000,1099,2.0,2,2.0,823,5,00000008016
4369,608 Richmond St W,2019-11-01,572000,549,1.0,1,0.0,414,1,00000006087
4271,14 York St,2019-11-01,657000,549,1.0,1,1.0,3810,1,000000001411
4288,170 Fort York Blvd,2019-11-01,660000,649,1.0,1,1.0,1713,1,00000001707
5981,21 Grand Magazine St,2019-11-01,721000,849,1.0,2,1.0,1702,5,00000000217
1477,8 Charlotte St,2019-11-01,850000,749,1.0,2,1.0,2404,1,00000000081
1466,15 Fort York Blvd,2019-11-01,890000,949,2.0,2,1.0,1810,1,00000000157
7979,36 Lisgar St,2019-11-01,420000,549,1.0,1,0.0,630,6,00000000368
1530,5 Mariner Terr,2019-11-01,1255000,1299,2.0,2,2.0,9994002,1,00000000052
9969,57 St Joseph St,2019-11-01,568800,549,1.0,1,0.0,212,9,00000000577
1396,35 Mariner Terr,2019-11-01,1264000,1299,2.0,2,1.0,4512,1,00000000352
4415,629 King St W,2019-12-01,559000,400,1.0,1,0.0,622,1,00000006296
4429,55 Bremner Blvd,2019-12-01,749900,649,1.0,1,1.0,1105,1,00000000552
4386,88 Blue Jays Way,2019-12-01,765000,649,1.0,1,1.0,2204,1,00000000883
1552,21 Iceboat Terr,2019-12-01,1125000,1299,2.0,2,2.0,99907,1,00000000217
1469,88 Blue Jays Way,2019-12-01,850000,749,2.0,2,1.0,1105,1,00000000883
7290,35 Bastion St,2019-12-01,567000,649,1.0,1,1.0,701,5,00000000358
4464,650 King St W,2020-01-01,676000,649,1.0,1,0.0,407,1,00000006506
4446,270 Wellington St W,2020-01-01,640000,649,1.0,1,1.0,1023,1,00000002705
4501,21 Widmer St,2020-01-01,698000,549,1.0,1,1.0,2007,1,00000000212
1611,8 Telegram Mews,2020-01-01,858000,949,2.0,2,1.0,503,1,00000000081
4346,8 Charlotte St,2020-01-01,735000,649,1.0,1,0.0,503,1,00000000081
4410,14 York St,2020-01-01,651500,549,1.0,1,0.0,5811,1,000000001411
9997,1080 Bay St,2020-01-01,690000,549,1.0,1,0.0,1208,9,000000108011
4537,10 Queens Quay W,2020-01-01,581000,400,0.0,1,1.0,1402,1,00000000101
7329,570 Wellington St W,2020-01-01,740000,649,1.0,1,1.0,12,5,00000005705
6011,39 Shank St,2020-01-01,879999,1099,2.0,2,1.0,306,5,00000000394
6012,1005 King St W,2020-01-01,751000,749,1.0,2,1.0,130,5,00000010056
7989,68 Abell St,2020-01-01,490100,400,1.0,1,0.0,723,6,00000000688
7988,68 Abell St,2020-01-01,575000,549,1.0,1,1.0,706,6,00000000688
7986,36 Lisgar St,2020-01-01,462521,549,1.0,1,0.0,630,6,00000000368
7304,65 East Liberty St,2020-01-01,560000,400,1.0,1,1.0,625,5,00000000657
1464,21 Nelson St,2020-02-01,765000,749,2.0,2,1.0,603,1,00000000217
1617,10 Capreol Crt,2020-02-01,790000,749,2.0,2,1.0,353,1,00000000102
8360,15 Beverley St,2020-02-01,765000,749,1.0,1,1.0,25,7,00000000154
4476,12 York St,2020-02-01,739800,649,1.0,1,1.0,4311,1,000000001211
4466,33 Bay St,2020-02-01,712500,749,1.0,1,0.0,201,1,000000003311
6032,125 Western Battery Rd,2020-02-01,849900,1099,2.0,2,1.0,203,5,00000001257
6033,85 East Liberty St,2020-02-01,965000,949,2.0,2,1.0,81,5,00000000857
6037,85 East Liberty St,2020-02-01,769000,849,2.0,2,1.0,321,5,00000000857
9113,1001 Bay St,2020-02-01,1110000,1099,2.0,2,1.0,1115,9,000000100111
1557,15 Iceboat Terr,2020-02-01,1165000,1299,2.0,2,1.0,3810,1,00000000157
9116,62 Wellesley St W,2020-02-01,1750000,1899,3.0,2,1.0,1506,9,000000006211
9131,1166 Bay St,2020-02-01,3200000,2374,3.0,2,2.0,1002,9,000000116611
4555,8 Charlotte St,2020-02-01,752000,549,1.0,1,1.0,310,1,00000000081
4618,65 Bremner Blvd,2020-02-01,565000,400,0.0,1,0.0,3303,1,00000000652
4606,300 Front St W,2020-02-01,660000,549,1.0,1,0.0,2502,1,00000003004
4602,33 Bay St,2020-02-01,770000,649,1.0,1,1.0,3613,1,000000003311
1660,15 Fort York Blvd,2020-02-01,930000,1099,2.0,2,1.0,2801,1,00000000157
1623,35 Mariner Terr,2020-02-01,1310000,1299,2.0,2,1.0,2509,1,00000000352
1637,33 Harbour Sq,2020-02-01,1160000,1299,2.0,2,1.0,834,1,00000000337
4581,218 Queens Quay W,2020-02-01,648888,549,1.0,1,0.0,408,1,00000002181
4585,39 Brant St,2020-02-01,774100,649,2.0,1,0.0,526,1,00000000393
4578,25 Telegram Mews,2020-02-01,660000,549,1.0,1,0.0,211,1,00000000251
1681,629 King St W,2020-03-01,1468000,1099,2.0,2,1.0,212,1,00000006296
1687,55 Harbour Sq,2020-03-01,1590000,1699,2.0,2,1.0,2613,1,00000000557
1702,75 Queens Wharf Rd,2020-03-01,1149000,1099,2.0,2,1.0,2301,1,00000000754
1689,125 Peter St,2020-03-01,900000,749,2.0,2,1.0,2402,1,00000001253
6054,21 Grand Magazine St,2020-03-01,755000,849,1.0,2,1.0,702,5,00000000217
4652,21 Iceboat Terr,2020-03-01,610000,649,1.0,1,0.0,523,1,00000000217
4734,15 Iceboat Terr,2020-03-01,739000,649,1.0,1,0.0,99902,1,00000000157
10063,736 Bay St,2020-03-01,570000,400,1.0,1,0.0,1709,9,000000073611
1339,355 King St W,2020-03-01,740000,749,2.0,2,0.0,3702,1,00000003556
4703,11 Brunel Crt,2020-03-01,650000,649,1.0,1,1.0,1007,1,00000000113
4704,25 Telegram Mews,2020-03-01,740000,649,1.0,1,1.0,5205,1,00000000251
4705,629 King St W,2020-03-01,605000,400,1.0,1,0.0,1319,1,00000006296
4399,55 Harbour Sq,2020-03-01,885000,1099,1.0,1,1.0,606,1,00000000557
7395,215 Fort York Blvd,2020-03-01,700000,649,2.0,1,1.0,3011,5,00000002157
7428,637 Lake Shore Blvd,2020-03-01,635000,549,1.0,1,1.0,1002,5,00000006376
7400,701 King St W,2020-03-01,730000,849,1.0,1,1.0,105,5,00000007016
1705,218 Queens Quay W,2020-04-01,810000,749,1.0,2,1.0,2704,1,00000002181
1726,21 Iceboat Terr,2020-04-01,760000,849,2.0,2,1.0,1606,1,00000000217
1727,8 Charlotte St,2020-04-01,875000,749,1.0,2,1.0,2404,1,00000000081
1731,295 Adelaide St W,2020-04-01,1127500,1099,2.0,2,1.0,2907,1,00000002954
10079,1001 Bay St,2020-04-01,715000,749,1.0,1,0.0,1902,9,000000100111
1549,355 King St W,2020-04-01,1120000,1099,3.0,2,0.0,99903,1,00000003556
8006,1171 Queen St W,2020-04-01,630000,749,1.0,1,0.0,407,6,00000011713
4736,140 Simcoe St,2020-04-01,600000,649,1.0,1,0.0,1204,1,00000001404
4706,12 York St,2020-04-01,653000,649,1.0,1,0.0,3409,1,000000001211
4762,87 Peter St,2020-04-01,510000,400,0.0,1,0.0,3305,1,00000000873
4819,10 Navy Wharf Crt,2020-05-01,710000,749,1.0,1,1.0,706,1,00000000101
4823,151 Dan Leckie Way,2020-05-01,625000,749,1.0,1,1.0,2306,1,00000001517
4824,560 King St W,2020-05-01,530000,400,1.0,1,0.0,215,1,00000005606
4816,560 Front St W,2020-05-01,565000,549,1.0,1,0.0,906,1,00000005604
8478,130 Rusholme Rd,2020-05-01,1130000,849,2.0,1,1.0,702,8,00000001304
9186,1001 Bay St,2020-05-01,898000,1099,2.0,2,1.0,2415,9,000000100111
7477,125 Western Battery Rd,2020-05-01,595000,549,1.0,1,0.0,1316,5,00000001257
7474,231 Fort York Blvd,2020-05-01,566000,549,1.0,1,1.0,1113,5,00000002317
7480,15 Stafford St,2020-05-01,667000,649,1.0,1,1.0,707,5,00000000157
7453,637 Lake Shore Blvd W,2020-05-01,739000,649,1.0,1,1.0,202,5,00000006376
4831,39 Brant St,2020-05-01,495000,400,1.0,1,0.0,417,1,00000000393
4834,14 York St,2020-05-01,509000,400,0.0,1,0.0,5001,1,000000001411
8012,20 Minowan Miikan Lane,2020-05-01,585000,549,1.0,1,1.0,809,6,00000000207
